Time [s],Value,Parity Error,Framing Error
0.509048875000000,$,,
0.510090375000000,G,,
0.511131875000000,P,,
0.512173416666667,G,,
0.513214916666667,G,,
0.514256458333333,A,,
0.515297958333333,COMMA,,
0.516339500000000,0,,
0.517381000000000,0,,
0.518422541666667,2,,
0.519464041666667,2,,
0.520505583333333,3,,
0.521547083333333,9,,
0.522588625000000,.,,
0.523630125000000,7,,
0.524671625000000,9,,
0.525901416666667,9,,
0.526942916666667,COMMA,,
0.527984416666667,COMMA,,
0.529025958333333,COMMA,,
0.530067458333333,COMMA,,
0.531109000000000,COMMA,,
0.532150500000000,0,,
0.533192041666667,COMMA,,
0.534233541666667,0,,
0.535275083333333,COMMA,,
0.536316583333333,COMMA,,
0.537358125000000,COMMA,,
0.538399625000000,M,,
0.539441166666667,COMMA,,
0.540482666666667,COMMA,,
0.541524166666667,M,,
0.542754000000000,COMMA,,
0.543795500000000,COMMA,,
0.544837041666667,*,,
0.545878541666667,4,,
0.546920083333333,5,,
0.547961583333333,\r,,
0.549003125000000,\n,,
0.550044625000000,$,,
0.551086166666667,G,,
0.552127666666667,P,,
0.553169208333333,G,,
0.554210708333333,S,,
0.555252250000000,A,,
0.556293750000000,COMMA,,
0.557335291666667,A,,
0.558376791666667,COMMA,,
0.559606625000000,1,,
0.560648125000000,COMMA,,
0.561689625000000,COMMA,,
0.562731166666667,COMMA,,
0.563772666666667,COMMA,,
0.564814208333333,COMMA,,
0.565855708333333,COMMA,,
0.566897250000000,COMMA,,
0.567938750000000,COMMA,,
0.568980291666667,COMMA,,
0.570021791666667,COMMA,,
0.571063333333333,COMMA,,
0.572104833333333,COMMA,,
0.573146375000000,COMMA,,
0.574187875000000,COMMA,,
0.575229375000000,COMMA,,
0.576459250000000,*,,
0.577500791666667,1,,
0.578542291666667,E,,
0.579583833333333,\r,,
0.580625333333333,\n,,
0.581666875000000,$,,
0.582708375000000,G,,
0.583749916666667,P,,
0.584791416666667,R,,
0.585832958333333,M,,
0.586874458333333,C,,
0.587916000000000,COMMA,,
0.588957500000000,0,,
0.589999000000000,0,,
0.591040541666667,2,,
0.592082041666667,2,,
0.593394333333333,3,,
0.594435833333333,9,,
0.595477375000000,.,,
0.596518875000000,7,,
0.597560375000000,9,,
0.598601916666667,9,,
0.599643416666667,COMMA,,
0.600684958333333,V,,
0.601726458333333,COMMA,,
0.602768000000000,COMMA,,
0.603809500000000,COMMA,,
0.604851041666667,COMMA,,
0.605892541666667,COMMA,,
0.606934083333333,0,,
0.607975583333333,.,,
0.609017125000000,0,,
0.610246916666667,0,,
0.611288458333333,COMMA,,
0.612329958333333,0,,
0.613371458333333,.,,
0.614413000000000,0,,
0.615454500000000,0,,
0.616496041666667,COMMA,,
0.617537541666667,0,,
0.618579083333333,6,,
0.619620583333333,0,,
0.620662125000000,1,,
0.621703625000000,8,,
0.622745166666667,0,,
0.623786666666667,COMMA,,
0.624828208333333,COMMA,,
0.625869708333333,COMMA,,
0.627099541666667,N,,
0.628141041666667,*,,
0.629182583333333,4,,
0.630224083333333,F,,
0.631265583333333,\r,,
0.632307125000000,\n,,
0.633348625000000,$,,
0.634390166666667,G,,
0.635431666666667,P,,
0.636473208333333,V,,
0.637514708333333,T,,
0.638556250000000,G,,
0.639597750000000,COMMA,,
0.640639291666667,0,,
0.641680791666667,.,,
0.642722333333333,0,,
0.643952208333333,0,,
0.644993708333333,COMMA,,
0.646035208333333,T,,
0.647076750000000,COMMA,,
0.648118250000000,COMMA,,
0.649159791666667,M,,
0.650201291666667,COMMA,,
0.651242833333333,0,,
0.652284333333333,.,,
0.653325875000000,0,,
0.654367375000000,0,,
0.655408916666667,COMMA,,
0.656450416666667,N,,
0.657491958333333,COMMA,,
0.658533458333333,0,,
0.659575000000000,.,,
0.660763166666667,0,,
0.661804708333333,0,,
0.662846208333333,COMMA,,
0.663887750000000,K,,
0.664929250000000,COMMA,,
0.665970750000000,N,,
0.667012291666667,*,,
0.668053791666667,3,,
0.669095333333333,2,,
0.670136833333333,\r,,
0.671178375000000,\n,,
1.509323833333333,$,,
1.510365333333333,G,,
1.511406875000000,P,,
1.512448375000000,G,,
1.513489916666667,G,,
1.514531416666667,A,,
1.515572916666667,COMMA,,
1.516614458333333,0,,
1.517655958333333,0,,
1.518697500000000,2,,
1.519739000000000,2,,
1.520780541666667,4,,
1.521822041666667,0,,
1.522863583333333,.,,
1.523905083333333,7,,
1.524946625000000,9,,
1.526176416666667,9,,
1.527217958333333,COMMA,,
1.528259458333333,COMMA,,
1.529301000000000,COMMA,,
1.530342500000000,COMMA,,
1.531384000000000,COMMA,,
1.532425541666667,0,,
1.533467041666667,COMMA,,
1.534508583333333,0,,
1.535550083333333,COMMA,,
1.536591625000000,COMMA,,
1.537633125000000,COMMA,,
1.538674666666667,M,,
1.539716166666667,COMMA,,
1.540757708333333,COMMA,,
1.541799208333333,M,,
1.543029041666667,COMMA,,
1.544070541666667,COMMA,,
1.545112083333333,*,,
1.546153583333333,4,,
1.547195083333333,B,,
1.548236625000000,\r,,
1.549278125000000,\n,,
1.550319666666667,$,,
1.551361166666667,G,,
1.552402708333333,P,,
1.553444208333333,G,,
1.554485750000000,S,,
1.555527250000000,A,,
1.556568791666667,COMMA,,
1.557610291666667,A,,
1.558651833333333,COMMA,,
1.559881708333333,1,,
1.560923208333333,COMMA,,
1.561964750000000,COMMA,,
1.563006250000000,COMMA,,
1.564047750000000,COMMA,,
1.565089291666667,COMMA,,
1.566130791666667,COMMA,,
1.567172333333333,COMMA,,
1.568213833333333,COMMA,,
1.569255375000000,COMMA,,
1.570296875000000,COMMA,,
1.571338416666667,COMMA,,
1.572379916666667,COMMA,,
1.573421458333333,COMMA,,
1.574462958333333,COMMA,,
1.575504500000000,COMMA,,
1.576734291666667,*,,
1.577775833333333,1,,
1.578817333333333,E,,
1.579858833333333,\r,,
1.580900375000000,\n,,
1.581941875000000,$,,
1.582983416666667,G,,
1.584024916666667,P,,
1.585066458333333,R,,
1.586107958333333,M,,
1.587149500000000,C,,
1.588191000000000,COMMA,,
1.589232541666667,0,,
1.590274041666667,0,,
1.591315583333333,2,,
1.592357083333333,2,,
1.593586666666667,4,,
1.594628166666667,0,,
1.595669708333333,.,,
1.596711208333333,7,,
1.597752750000000,9,,
1.598794250000000,9,,
1.599835750000000,COMMA,,
1.600877291666667,V,,
1.601918791666667,COMMA,,
1.602960333333333,COMMA,,
1.604001833333333,COMMA,,
1.605043375000000,COMMA,,
1.606084875000000,COMMA,,
1.607126416666667,0,,
1.608167916666667,.,,
1.609209458333333,0,,
1.610439250000000,0,,
1.611480791666667,COMMA,,
1.612522291666667,0,,
1.613563833333333,.,,
1.614605333333333,0,,
1.615646875000000,0,,
1.616688375000000,COMMA,,
1.617729875000000,0,,
1.618771416666667,6,,
1.619812916666667,0,,
1.620854458333333,1,,
1.621895958333333,8,,
1.622937500000000,0,,
1.623979000000000,COMMA,,
1.625020541666667,COMMA,,
1.626062041666667,COMMA,,
1.627291875000000,N,,
1.628333375000000,*,,
1.629374916666667,4,,
1.630416416666667,1,,
1.631457958333333,\r,,
1.632499458333333,\n,,
1.633540958333333,$,,
1.634582500000000,G,,
1.635624000000000,P,,
1.636665541666667,V,,
1.637707041666667,T,,
1.638748583333333,G,,
1.639790083333333,COMMA,,
1.640831625000000,0,,
1.641873125000000,.,,
1.642914666666667,0,,
1.644144541666667,0,,
1.645186041666667,COMMA,,
1.646227583333333,T,,
1.647269083333333,COMMA,,
1.648310583333333,COMMA,,
1.649352125000000,M,,
1.650393625000000,COMMA,,
1.651435166666667,0,,
1.652476666666667,.,,
1.653518208333333,0,,
1.654559708333333,0,,
1.655601250000000,COMMA,,
1.656642750000000,N,,
1.657684291666667,COMMA,,
1.658725791666667,0,,
1.659767333333333,.,,
1.660955500000000,0,,
1.661997041666667,0,,
1.663038541666667,COMMA,,
1.664080083333333,K,,
1.665121583333333,COMMA,,
1.666163125000000,N,,
1.667204625000000,*,,
1.668246166666667,3,,
1.669287666666667,2,,
